"Source","Target","relationship_type_id"
Abraham Crowley,Frederick Crowley,3
Henry Crowley,A Crowley,3
Henry Crowley,Abraham Crowley,3
Mary Cudworth,William Cudworth,3
A Dale,William Ball,3
David Dale,A Dale,3
William Dent,Henry Hipsley,3
William Dent,Samuel Priestman,3
Daniel Doncaster,John S Rowntree,3
J Doubleday,R Doubleday,3
Mary Exton,William Exton,3
Mary Exton,Joseph Sharples,3
William Exton,Joseph Sharples,3
John Fell,Mary Fell,3
Caleb Fletcher,Josiah Newman,3
Caleb Fletcher,Hannah Scarr,3
Josiah Forster,Robert Forster,3
Josiah Forster,William Forster,3
Robert Forster,William Forster,3
Rachel Fowler,Thomas Fowler,3
Robert Nicholas Fowler,Thomas Fowler,3
Alfred L Fox,Joseph Whitwell Pease,3
Charles Henry Fox,Robert Were Fox,3
George Fox,Frederick H Fox,3
Henry Fox,Elizabeth Charelton,3
Henry Fox,W D Crewdson,3
J G Fox,R Barclay Fox,3
Robert Were Fox,R Barclay Fox,3
Robert Were Fox,x Fox,3
Robert Were Fox,Francis Tuckett,3
x Fox,R Barclay Fox,3
Frederick Fryer,Thomas Pease,3
Ann Gibson,Deborah Gibson,3
Ann Gibson,Caroline Marriage,3
Francis Gibson,John Pease,3
Francis Gibson,Joseph Pease,3
George Stacey Gibson,Deborah Gibson,3
George Stacey Gibson,W G Gibson,3
W G Gibson,Rebecca Beaumont,3
W G Gibson,Deborah Gibson,3
John Gillett,Jonathan Gillett,3
John Gillett,James Sessions,3
Jonathan Gillett,James Sessions,3
G Grimshaw,William Jun Grimshaw,3
Henry E Gurney,John Gurney,3
Henry E Gurney,Samuel Gurney,3
John Gurney,Samuel Gurney,3
Cornelius Hanbury,Cornelius x Jun Hanbury,3
Cornelius Hanbury,Daniel Bell Hanbury,3
Charles L Harford,Summers Harford,3
Edwd Harris,Theodore Harris,3
Henry Harris,Edwd Harris,3
Henry Harris,Lydia Harris,3
Lydia Harris,Edwd Harris,3
Thomas Harvey,Frederick Fryer,3
George Head,John Gurney,3
George Head,Samuel Gurney,3
George Head,Sarah Head,3
Sarah Head,John Gurney,3
Sarah Head,Samuel Gurney,3
H Headley,J F Burgess,3
W Hewitson,M A Hewitson,3
James Hills,John Hills,3
Thomas (1) Hodgkin,John Hodgkin,3
J Holdsworth,Richard Holdsworth,3
Geo Holmes,G B Holmes,3
Charles Horsnaill,W C Horsnaill,3
Robert Howard,Luke Howard,3
A Janson,William Janson,3
Andrew Johnston,Andrew & Jun Johnston,3
Robert Jowett (2),W D Crewdson,3
Robert Jowett (2),John Jowett,3
William Horton Lloyd,George Stacey,3
Edmund Lucas,Frederick Lucas,3
Edward Lucas,Jeffrey Lucas,3
Martha Lucas,Samuel Lucas,3
Martha Lucas,William Jun Lucas,3
Samuel Lucas,William Jun Lucas,3
Edward C May,Francis May,3
Edward C May,W Dillwyn Sims,3
E Neave,Samuel Thompson,3
Thomas Norton,William Norton,3
Arthur Pease,Edward Pease,3
Arthur Pease,Gurney Pease,3
Arthur Pease,Joseph Pease,3
Arthur Pease,Joseph Whitwell Pease,3
Edward Pease,Gurney Pease,3
Edward Pease,Joseph Pease,3
Edward Pease,Joseph Whitwell Pease,3
Gurney Pease,Joseph Pease,3
Gurney Pease,Joseph Whitwell Pease,3
John Pease,Joseph Pease,3
Joseph Pease,Joseph Whitwell Pease,3
Susan Pease,Thomas Pease,3
Algernon Peckover,William Peckover,3
Algernon Peckover,John T Shewell,3
William Peckover,John T Shewell,3
Edward Priestman (2),John Priestman,3
John Priestman,Samuel Priestman,3
John Rickman,Matilda Rickman,3
John Rickman,Priscilla Rickman,3
John Rickman,R Rickman,3
John Rickman,R P Rickman,3
Matilda Rickman,Priscilla Rickman,3
Matilda Rickman,R Rickman,3
Matilda Rickman,R P Rickman,3
Priscilla Rickman,R Rickman,3
Priscilla Rickman,R P Rickman,3
R Rickman,R P Rickman,3
S Rickman,John Rickman,3
S Rickman,Matilda Rickman,3
S Rickman,Priscilla Rickman,3
S Rickman,R Rickman,3
S Rickman,R P Rickman,3
Isaac Robson,J S Robson,3
Alfred Rosling,Joseph Rosling,3
Alfred Rosling,Samuel Rosling,3
John S Rowntree,Sarah Hotham,3
Samuel Rundall,Sarah Rundell,3
John Sanderson,Elizabeth Charelton,3
Micheal Scatterthwaite,S Scatterthwaite,3
Benjamin Seebohm,F Seebohm,3
Benjamin Seebohm,William Seebohm,3
James Sessions,Lydia Sessions,3
James Sessions,Robert Sessions,3
Lydia Sessions,Robert Sessions,3
Abraham Sewell,E F Sewell,3
Abraham Sewell,Joseph Sewell,3
Joseph Shewell,John T Shewell,3
Bartholomew Smith,D Tuke,3
Ann Snowden,George Smithson,3
E P Southall,Sarah Southall,3
William Southall,Sarah Southall,3
J M Sparkes,Joshua Wilson,3
L Squire,Edward A Crouch,3
George Stacey,Rebecca Beaumont,3
George Stacey,Deborah Gibson,3
Henry Sterry,Joseph Sterry,3
Henry Sterry,Richard Sterry,3
Henry Sterry,Sarah Sterry,3
Richard Sterry,Sarah Sterry,3
Charles Sturge,Edmund Sturge,3
Charles Sturge,Thomas M Sturge,3
Edmund Sturge,Thomas M Sturge,3
George Sturge,H J Sturge,3
George Sturge,Samuel Sturge,3
H J Sturge,Walter Sturge,3
Joseph Sturge (Mrs),Barnard Dickinson,3
Joseph Sturge (Mrs),Charles Sturge,3
Joseph Sturge (Mrs),Edmund Sturge,3
Joseph Sturge (Mrs),Joseph Sturge,3
Joseph Sturge,Barnard Dickinson,3
Joseph Sturge,Charles Sturge,3
Joseph Sturge,Edmund Sturge,3
Joseph Sturge,Thomas M Sturge,3
Edward Thomas,George Thomas,3
Elizabeth Tuckett,Francis Tuckett,3
Elizabeth Tuckett,P Debell Tuckett,3
Francis Tuckett,P Debell Tuckett,3
Frederick Tuckett,Elizabeth Tuckett,3
Frederick Tuckett,Francis Tuckett,3
Frederick Tuckett,P Debell Tuckett,3
J H Tuke,Samuel Tuke,3
W Tuke,D Tuke,3
Ann Tweedy,William Tweedy,3
James E Veale,Richard Veale,3
James E Veale,William Veale,3
Richard Veale,William Veale,3
Charles B Warner,Septimus Warner,3
John Warner,Charles B Warner,3
John Warner,Septimus Warner,3
Alfred Waterhouse,John Hodgkin,3
Alfred Waterhouse,R Waterhouse,3
Mary Waterhouse,Paul Bevan,3
Lucy Westcombe,Thomas Westcombe,3
Benjamin Wheeler,Samuel Wheeler,3
Charles Wilson,Joshua Wilson,3
