"person_id","Name","religion_id","religion_name","ceda_id","ceda_name","person_ceda_first_year","person_ceda_last_year"
967,Thomas (1) Hodgkin,1,Quaker,1,QCA,1839,1847
2511,James Bowden,1,Quaker,1,QCA,1842,1847
2512,William Nash,1,Quaker,1,QCA,1842,1847
2513,Joseph Sturge,1,Quaker,1,QCA,1842,1847
2514,William Jun Grimshaw,1,Quaker,1,QCA,1840,1847
2515,Henry Knight,1,Quaker,1,QCA,1840,1847
2516,Edward Paull,1,Quaker,1,QCA,1840,1847
2517,Robert Jun Alsop,1,Quaker,1,QCA,1837,1847
2518,Abram Rawlinson Barclay,1,Quaker,1,QCA,1837,1839
2519,John Barclay,1,Quaker,1,QCA,1837,1839
2520,Richard Barrett,1,Quaker,1,QCA,1837,1839
2521,John Thomas Barry,1,Quaker,1,QCA,1837,1847
2522,Peter Bedford,1,Quaker,1,QCA,1837,1847
2523,John Bell,1,Quaker,1,QCA,1837,1839
2524,Thomas Christy,1,Quaker,1,QCA,1837,1839
2525,Samuel Darton,1,Quaker,1,QCA,1837,1839
2526,Josiah Forster,1,Quaker,1,QCA,1837,1847
2527,Robert Forster,1,Quaker,1,QCA,1837,1847
2528,William Forster,1,Quaker,1,QCA,1837,1847
2529,Joseph Talwin Foster,1,Quaker,1,QCA,1837,1847
2530,John Hamilton,1,Quaker,1,QCA,1837,1839
2532,Edwd Harris,1,Quaker,1,QCA,1837,1847
2534,Geo Holmes,1,Quaker,1,QCA,1837,1839
2535,Robert Howard,1,Quaker,1,QCA,1837,1839
2536,John Kitching,1,Quaker,1,QCA,1837,1839
2538,Joseph Neatby,1,Quaker,1,QCA,1837,1847
2540,John Sanderson,1,Quaker,1,QCA,1837,1847
2541,Joseph Shewell,1,Quaker,1,QCA,1837,1839
2542,George Stacey,1,Quaker,1,QCA,1837,1847
2543, Joseph Storrs,1,Quaker,1,QCA,1837,1847
